"cal_year","cal_month","rehab_num","mean_mass_bff_female","mean_mass_bff_male","mean_mass_ghff_female","mean_mass_ghff_male","mean_mass_score","num_below_mass_score","total_weighted","prop_weighted","prop_below_mass_score","lag_rehab_num_1","lag_rehab_num_2","lag_rehab_num_3","lag_rehab_num_4","lag_rehab_num_5","lag_rehab_num_6","total_rehab_num_2","total_rehab_num_3","total_rehab_num_4","total_rehab_num_5","total_rehab_num_6"
2005,10,NA,NA,NA,NA,609,-0.135024541952045,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4
2006,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8,8,8,8,8
2006,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,6,10,10,10,10
2006,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,6,10,14,14,14
2006,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,NA,NA,7,9,13,17,17
2006,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,4,NA,6,10,12,16,20
2006,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,4,4,6,9,13,15,19
2006,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,4,8,11,14,18,20
2006,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,4,2,10,13,16,19,23
2006,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,4,22,27,30,33,36
2006,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,5,3,3,3,35,40,45,48,51
2006,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,5,5,3,3,30,47,52,57,60
2007,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18,17,5,5,3,18,36,53,58,63
2007,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,18,17,5,5,13,25,43,60,65
2007,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,12,18,17,5,22,28,40,58,75
2007,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7,6,12,18,17,21,28,34,46,64
2007,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,7,6,12,18,9,24,31,37,49
2007,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,15,7,6,12,8,14,29,36,42
2007,7,42,NA,NA,494,585.666666666667,-0.232051243075664,4,4,0.0952380952380952,1,5,3,6,15,7,6,47,50,56,71,78
